_id,report_date,previous_day_doses_administered,total_doses_administered,total_doses_in_fully_vaccinated_individuals,total_individuals_fully_vaccinated
84,2021-03-22T00:00:00,"31,335","1,553,040","598,594","299,297"
85,2021-03-23T00:00:00,"50,659","1,603,699","602,086","301,043"
86,2021-03-24T00:00:00,"72,451","1,676,150","605,328","302,664"
87,2021-03-25T00:00:00,"79,446","1,755,596","608,771","304,386"
88,2021-03-26T00:00:00,"82,996","1,838,592","612,746","306,373"
89,2021-03-27T00:00:00,"77,740","1,916,332","616,602","308,301"
90,2021-03-28T00:00:00,"64,950","1,981,282","618,570","309,285"
91,2021-03-29T00:00:00,"50,453","2,031,735","622,495","311,248"
92,2021-03-30T00:00:00,"70,645","2,102,380","627,778","313,889"
93,2021-03-31T00:00:00,"89,873","2,192,253","631,639","315,820"
